Date,Open,High,Low,Close,Adj Close,Volume,Stock
2020-09-25,1050.0,1051.949951,1025.650024,1044.0,1039.500977,10160772.0,HDFC
2020-09-28,1048.949951,1059.0,1042.650024,1054.199951,1049.656982,8076211.0,HDFC
2020-09-29,1058.0,1069.900024,1051.0,1062.550049,1057.971191,6322223.0,HDFC
2020-09-30,1060.0,1086.900024,1052.0,1078.599976,1073.951904,9406921.0,HDFC
2020-10-01,1090.099976,1110.0,1090.099976,1106.949951,1102.1796880000002,10601540.0,HDFC
2020-10-05,1112.0,1132.0,1111.0,1114.349976,1109.547852,8470063.0,HDFC
2020-10-06,1135.050049,1148.0,1126.199951,1144.099976,1139.169678,9685995.0,HDFC
2020-10-07,1144.900024,1164.849976,1137.599976,1162.25,1157.241455,10624389.0,HDFC
2020-10-08,1180.0,1203.0,1163.349976,1191.800049,1186.6641849999999,17530337.0,HDFC
2020-10-09,1201.0,1237.0,1191.650024,1233.550049,1228.2342529999999,22486194.0,HDFC
2020-10-12,1231.550049,1242.75,1205.599976,1213.650024,1208.419922,9610273.0,HDFC
2020-10-13,1213.400024,1222.449951,1195.0,1198.449951,1193.2854,9176976.0,HDFC
2020-10-14,1195.550049,1214.300049,1175.5,1211.5,1206.279175,11291459.0,HDFC
2020-10-15,1214.199951,1217.0,1164.0,1169.25,1164.211304,14123448.0,HDFC
2020-10-16,1180.0,1203.5,1173.0,1199.349976,1194.181519,12911424.0,HDFC
2020-10-19,1235.0,1235.0,1192.599976,1203.550049,1198.363525,21179778.0,HDFC
2020-10-20,1207.5,1227.400024,1205.900024,1223.949951,1218.6755369999998,13705989.0,HDFC
2020-10-21,1230.599976,1251.0,1221.699951,1246.699951,1241.327515,17820376.0,HDFC
2020-10-22,1239.949951,1250.0,1223.0,1233.300049,1227.985352,10956530.0,HDFC
2020-10-23,1243.5,1248.449951,1231.199951,1235.800049,1230.474487,7933115.0,HDFC
2020-10-26,1229.800049,1242.0,1204.599976,1210.900024,1205.681885,9785988.0,HDFC
2020-10-27,1226.0,1236.0,1197.849976,1233.099976,1227.786133,12158890.0,HDFC
2020-10-28,1228.0,1232.0,1201.5,1209.599976,1204.387329,8285593.0,HDFC
2020-10-29,1200.599976,1204.449951,1178.5,1187.199951,1182.083862,11530012.0,HDFC
2020-10-30,1182.550049,1199.300049,1176.349976,1183.550049,1178.449707,5761358.0,HDFC
2020-11-02,1194.349976,1225.0,1177.5,1215.25,1210.013062,10963040.0,HDFC
2020-11-03,1226.449951,1250.75,1225.5,1247.949951,1242.572144,14082115.0,HDFC
2020-11-04,1252.0,1264.800049,1230.0,1257.400024,1251.981445,11702411.0,HDFC
2020-11-05,1266.0,1276.0,1252.349976,1269.199951,1263.7304689999999,10716964.0,HDFC
2020-11-06,1266.25,1310.0,1265.5,1307.650024,1302.014893,17852862.0,HDFC
2020-11-09,1315.199951,1345.949951,1315.199951,1340.550049,1334.773193,13144220.0,HDFC
2020-11-10,1357.0,1395.0,1351.550049,1393.650024,1387.6442869999998,20758678.0,HDFC
2020-11-11,1399.900024,1414.800049,1370.5,1389.949951,1383.960205,18058097.0,HDFC
2020-11-12,1377.400024,1388.550049,1360.0,1371.699951,1365.788818,13526974.0,HDFC
2020-11-13,1368.800049,1368.800049,1347.0,1358.800049,1352.944458,11236240.0,HDFC
2020-11-14,,,,,,,HDFC
2020-11-17,1385.800049,1412.599976,1380.599976,1408.449951,1402.380493,15529950.0,HDFC
2020-11-18,1403.0,1419.0,1399.050049,1408.699951,1402.629395,9431388.0,HDFC
2020-11-19,1389.699951,1399.449951,1368.0,1374.349976,1368.427368,10133441.0,HDFC
2020-11-20,1372.650024,1408.400024,1365.050049,1403.650024,1397.601196,10202681.0,HDFC
2020-11-23,1415.0,1423.650024,1375.349976,1394.599976,1388.5900880000002,12623318.0,HDFC
2020-11-24,1408.0,1445.0,1402.050049,1438.199951,1432.002197,20077200.0,HDFC
2020-11-25,1451.300049,1464.400024,1397.0,1402.800049,1396.754883,12076301.0,HDFC
2020-11-26,1415.0,1432.0,1387.0,1426.650024,1420.502075,13971563.0,HDFC
2020-11-27,1431.800049,1446.0,1415.550049,1440.849976,1434.6408689999998,8997290.0,HDFC
2020-12-01,1440.849976,1449.0,1425.5,1433.300049,1427.123413,8573787.0,HDFC
2020-12-02,1431.0,1431.800049,1394.800049,1406.949951,1400.8869630000002,8946075.0,HDFC
2020-12-03,1429.0,1432.0,1374.050049,1377.199951,1371.2651369999999,18966611.0,HDFC
2020-12-04,1381.0,1401.449951,1373.300049,1385.599976,1379.6289060000001,13456161.0,HDFC
2020-12-07,1375.0,1379.949951,1358.099976,1372.25,1366.336426,12158159.0,HDFC
2020-12-08,1375.0,1388.800049,1365.150024,1376.300049,1370.3691410000001,9728948.0,HDFC
2020-12-09,1377.0,1410.050049,1375.050049,1407.199951,1401.135864,11034537.0,HDFC
2020-12-10,1398.0,1402.0,1375.75,1385.849976,1379.877808,9863983.0,HDFC
2020-12-11,1390.050049,1395.0,1373.0,1382.800049,1376.841064,10678192.0,HDFC
2020-12-14,1383.0,1388.0,1368.0,1372.150024,1366.236938,8611025.0,HDFC
2020-12-15,1380.800049,1394.949951,1366.0,1391.300049,1385.304443,10780718.0,HDFC
2020-12-16,1404.0,1416.800049,1394.5,1410.699951,1404.6207279999999,8416046.0,HDFC
2020-12-17,1418.599976,1445.0,1404.5,1441.800049,1435.586792,10962239.0,HDFC
2020-12-18,1435.0,1439.699951,1406.300049,1411.349976,1405.267944,11497959.0,HDFC
2020-12-21,1417.5,1423.849976,1366.699951,1372.650024,1366.734741,11880912.0,HDFC
2020-12-22,1384.800049,1384.800049,1345.0,1373.099976,1367.182739,11425779.0,HDFC
2020-12-23,1367.5,1380.949951,1361.050049,1375.650024,1369.721802,7733697.0,HDFC
2020-12-24,1389.400024,1404.0,1377.0,1397.099976,1391.079346,7476094.0,HDFC
2020-12-28,1405.0,1421.0,1404.0,1412.849976,1406.761475,5849597.0,HDFC
2020-12-29,1421.050049,1434.75,1420.0,1427.199951,1421.049683,7247673.0,HDFC
2020-12-30,1439.900024,1439.900024,1413.0,1432.5,1426.326904,8108363.0,HDFC
2020-12-31,1435.0,1444.0,1425.050049,1436.300049,1430.110474,11072875.0,HDFC
2021-01-01,1440.0,1443.0,1420.599976,1425.050049,1418.909058,4405469.0,HDFC
2021-01-04,1438.0,1438.0,1399.0,1416.0,1409.897949,7870096.0,HDFC
2021-01-05,1419.199951,1430.75,1409.0,1426.699951,1420.551758,7193412.0,HDFC
2021-01-06,1435.0,1440.0,1413.099976,1420.550049,1414.428345,11067025.0,HDFC
2021-01-07,1432.5,1432.599976,1412.550049,1416.25,1410.146851,9947421.0,HDFC
2021-01-08,1432.0,1442.0,1423.099976,1431.650024,1425.480591,6884382.0,HDFC
2021-01-11,1450.0,1464.900024,1436.300049,1451.449951,1445.1951900000001,8665696.0,HDFC
2021-01-12,1452.449951,1487.699951,1449.099976,1481.0,1474.617798,10194078.0,HDFC
2021-01-13,1492.900024,1496.900024,1462.099976,1470.650024,1464.3125,8467325.0,HDFC
2021-01-14,1471.150024,1488.0,1456.0,1468.75,1462.420654,6148583.0,HDFC
2021-01-15,1469.099976,1471.650024,1445.0,1466.650024,1460.329712,7082618.0,HDFC
2021-01-18,1469.900024,1502.849976,1467.0,1483.099976,1476.70874,21412816.0,HDFC
2021-01-19,1491.800049,1511.650024,1467.0,1503.849976,1497.369385,8680127.0,HDFC
2021-01-20,1501.0,1501.0,1486.0,1492.0,1485.5704349999999,6673026.0,HDFC
2021-01-21,1492.0,1494.349976,1468.150024,1474.800049,1468.44458,13166527.0,HDFC
2021-01-22,1467.900024,1467.900024,1440.150024,1443.550049,1437.329224,7696182.0,HDFC
2021-01-25,1465.099976,1481.0,1455.150024,1462.849976,1456.546021,10172359.0,HDFC
2021-01-27,1468.0,1471.900024,1406.150024,1409.599976,1403.525513,11778138.0,HDFC
2021-01-28,1389.900024,1401.300049,1342.0,1371.449951,1365.539917,21352223.0,HDFC
2021-01-29,1391.349976,1408.75,1364.5,1390.5,1384.5078130000002,14352251.0,HDFC
2021-02-01,1410.25,1482.5,1401.0,1476.75,1470.386108,13185272.0,HDFC
2021-02-02,1501.0,1578.5,1497.400024,1560.550049,1553.825073,21210103.0,HDFC
2021-02-03,1579.0,1581.699951,1542.0,1574.800049,1568.013672,10118627.0,HDFC
2021-02-04,1566.0,1588.0,1543.449951,1579.099976,1572.295044,12242342.0,HDFC
2021-02-05,1548.0,1618.25,1548.0,1597.599976,1590.715332,13527358.0,HDFC
2021-02-08,1620.0,1631.650024,1595.699951,1605.25,1598.3323970000001,8723790.0,HDFC
2021-02-09,1610.0,1628.0,1586.699951,1611.849976,1604.903931,9210683.0,HDFC
2021-02-10,1608.349976,1614.849976,1567.0,1581.75,1574.933716,9894003.0,HDFC
2021-02-11,1582.0,1597.800049,1564.199951,1572.349976,1565.5742189999999,6824309.0,HDFC
2021-02-12,1573.900024,1592.5,1573.0,1581.949951,1575.1328130000002,4955053.0,HDFC
2021-02-15,1600.099976,1625.0,1596.699951,1616.599976,1609.633423,5177622.0,HDFC
2021-02-16,1621.199951,1641.0,1608.449951,1626.650024,1619.640259,6948679.0,HDFC
2021-02-17,1620.0,1621.800049,1583.0,1586.5,1579.663208,6397213.0,HDFC
